Survey_Year,School,Male_Undergraduates,Female_Undergraduates,Total_Undergraduates,Total_Participants,Operating_Expenses_per_Participant,Total_Operating_Expenses,Total_Revenues,Total_Expenses
2015,Auburn,9792,9833,19625,121,35140,4251940,92537433,41896336
2015,LSU,11211,12239,23450,120,33255,3990545,85741919,30463660
2015,Mississippi State,7827,7650,15477,125,29984,3748007,35471847,22311861
2015,Texas A&M,21997,21413,43410,129,34143,4404508,73700887,29945769
2015,Alabama,12929,15518,28447,135,53499,7222432,103870999,56214376
2015,Tennessee,10322,10145,20467,126,30127,3795968,107103765,28158835
2015,Arkansas,9179,10247,19426,120,55796,6695472,68970599,34237143
2015,Florida,13090,16772,29862,119,72327,8606930,83761070,32048390
2015,Georgia,10949,14788,25737,133,52084,6927108,87613126,38884925
2015,Kentucky,9775,11283,21058,123,20161,2479793,39714834,22309964
2015,Ole Miss,7460,9660,17120,118,44088,5202386,56823049,29500677
2015,Missouri,12370,13539,25909,130,25052,3256780,30358216,21061689
2015,South Carolina,10694,12634,23328,112,24198,2710162,59629815,29970031
2015,Vanderbilt,3436,3377,6813,98,32386,3173783,26782777,22154178
