Viewers,School,Opponent,Date,Network
3.16M,Tennessee,Oregon,9/14/2013,ABC
3.20M,South Carolina,UCF,9/28/2013,ABC
3.53M,Georgia,Georgia Tech,11/30/2013,ABC
3.67M,Mississippi State,Oklahoma State,8/31/2013,ABC
8.14M,Georgia,Clemson,8/31/2013,ABC
9.59M,South Carolina,Wisconsin,1/1/2014,ABC
11.90M,LSU,Alabama,11/9/2013,CBS
13.59M,Alabama,Texas A&M,9/14/2013,CBS
13.78M,Alabama,Auburn,11/30/2013,CBS
14.35M,Missouri,Auburn,12/7/2013,CBS
2.40M,Georgia,Vanderbilt,10/19/2013,CBS
4.03M,Tennessee,Alabama,10/26/2013,CBS
4.53M,Mississippi State,Texas A&M,11/9/2013,CBS
4.92M,Georgia,Florida,11/2/2013,CBS
4.96M,Arkansas,LSU,11/29/2013,CBS
5.02M,Florida,LSU,10/12/2013,CBS
5.32M,Georgia,Auburn,11/16/2013,CBS
5.61M,Georgia,Tennessee,10/5/2013,CBS
6.73M,Auburn,Texas A&M,10/19/2013,CBS
7.39M,LSU,Georgia,9/28/2013,CBS
7.51M,Texas A&M,LSU,11/23/2013,CBS
N/A,Tennessee,Florida,9/21/2013,CBS
1.33M,Kentucky,Mississippi State,10/24/2013,ESPN
1.62M,Arkansas,Rutgers,9/21/2013,ESPN
1.64M,Ole Miss,Mississippi State,11/28/2013,ESPN
1.88M,Vanderbilt,South Carolina,9/14/2013,ESPN
16.34M,Alabama,Oklahoma,1/2/2014,ESPN
2.24M,LSU,Mississippi State,10/5/2013,ESPN
2.28M,Kentucky,Louisville,9/14/2013,ESPN
2.28M,Tennessee,Missouri,11/2/2013,ESPN
2.33M,Arkansas,Alabama,10/19/2013,ESPN
2.42M,Missouri,Ole Miss,11/23/2013,ESPN
2.47M,Mississippi State,Rice,12/31/2013,ESPN
2.57M,Vanderbilt,Houston,1/4/2014,ESPN
2.74M,Ole Miss,Vanderbilt,8/29/2013,ESPN
2.77M,Auburn,Tennessee,11/9/2013,ESPN
3.01M,Missouri,Georgia,10/12/2013,ESPN
3.12M,Ole Miss,Georgia Tech,12/30/2013,ESPN
3.15M,Florida,Florida State,11/30/2013,ESPN
3.17M,LSU,TCU,8/31/2013,ESPN
3.37M,South Carolina,Tennessee,10/19/2013,ESPN
3.65M,South Carolina,North Carolina,8/29/2013,ESPN
3.80M,Auburn,LSU,9/21/2013,ESPN
4.02M,Ole Miss,Alabama,9/28/2013,ESPN
4.21M,Texas A&M,Rice,8/31/2013,ESPN
4.49M,Alabama,Mississippi State,11/16/2013,ESPN
4.60M,Florida,Miami,9/7/2013,ESPN
5.11M,Texas A&M,Ole Miss,10/12/2013,ESPN
5.17M,Alabama,Virginia Tech,8/31/2013,ESPN
5.44M,LSU,Iowa,1/1/2014,ESPN
5.72M,Texas A&M,Missouri,11/30/2013,ESPN
7.05M,South Carolina,Georgia,9/7/2013,ESPN
8.69M,Texas A&M,Duke,12/31/2013,ESPN
26.06M,Auburn,FSU,1/6/2014,ESPN
1.12M,Texas A&M,UTEP,11/2/2013,ESPN2
1.46M,Vanderbilt,Tennessee,11/23/2013,ESPN2
1.55M,Arkansas,Florida,10/5/2013,ESPN2
1.69M,Auburn,Arkansas,11/2/2013,ESPN2
1.86M,Mississippi State,Auburn,9/14/2013,ESPN2
2.31M,Florida,South Carolina,11/16/2013,ESPN2
2.56M,Alabama,Kentucky,10/12/2013,ESPN2
2.60M,LSU,Ole Miss,10/19/2013,ESPN2
2.76M,Texas A&M,Arkansas,9/28/2013,ESPN2
2.78M,Alabama,Colorado State,9/21/2013,ESPN2
3.05M,South Carolina,Missouri,10/26/2013,ESPN2
3.14M,South Carolina,Clemson,11/30/2013,ESPN2
4.52M,Georgia,Nebraska,1/1/2014,ESPN2
174K,Vanderbilt,UMass,9/21/2013,ESPNEWS
189K,Missouri,Toledo,9/7/2013,ESPNEWS
349K,South Carolina,Clemson,11/30/2013,ESPNEWS
550K,Texas A&M,Ole Miss,10/12/2013,ESPNEWS
271K,Ole Miss,Troy,11/16/2013,ESPNU
326K,Missouri,Toledo,9/7/2013,ESPNU
587K,Missouri,Kentucky,11/9/2013,ESPNU
601K,LSU,Kent State,9/14/2013,ESPNU
607K,Tennessee,Kentucky,11/30/2013,ESPNU
659K,LSU,UAB,9/7/2013,ESPNU
809K,Texas A&M,SMU,9/21/2013,ESPNU
922K,Auburn,Washington,8/31/2013,ESPNU
943K,Ole Miss,Auburn,10/5/2013,ESPNU
950K,Florida,Kentucky,9/28/2013,ESPNU
953K,Kentucky,Georgia,11/23/2013,ESPNU
6.54M,Missouri,Oklahoma State,1/3/2014,FOX
