Survey_Year,School,Male_Undergraduates,Female_Undergraduates,Total_Undergraduates,Total_Participants,Operating_Expenses_per_Participant,Total_Operating_Expenses,Total_Revenues,Total_Expenses
2014,Auburn,9357,9389,18746,122,35648,4349056,86742256,40077352
2014,LSU,11164,11925,23089,120,30877,3705213,86312831,28639663
2014,Mississippi State,7477,7084,14561,109,23051,2512581,31308423,17213521
2014,Texas A&M,21510,20507,42017,119,30930,3680669,62199166,25670784
2014,Alabama,12590,14741,27331,130,61128,7946626,97023963,51044292
2014,Tennessee,10136,10042,20178,135,29292,3954428,94377857,24511032
2014,Arkansas,9078,9951,19029,120,45270,5432353,66179978,30795322
2014,Florida,13066,16511,29577,109,72982,7955037,74720732,37473203
2014,Georgia,10664,14595,25259,122,48783,5951527,86719115,26154335
2014,Kentucky,9771,10742,20513,129,17696,2282744,35495890,19033843
2014,Ole Miss,7231,9187,16418,123,38458,4730304,53399653,25164361
2014,Missouri,12298,13455,25753,127,44806,5690424,37892973,23318033
2014,South Carolina,10411,12541,22952,110,27182,2990022,59768622,31357215
2014,Vanderbilt,3382,3393,6775,107,26442,2829245,27409392,24136525
