Survey_Year,School,Male_Undergraduates,Female_Undergraduates,Total_Undergraduates,Total_Participants,Operating_Expenses_per_Participant,Total_Operating_Expenses,Total_Revenues,Total_Expenses
2018,Auburn,11183,11053,22236,122,38814,4735365,95157216,47846261
2018,LSU,10443,11830,22273,118,40328,4758716,91950610,35319160
2018,Mississippi State,8145,8323,16468,121,40723,4927436,38035088,24026197
2018,Texas A&M,24703,22550,47253,125,48958,6119780,73517543,42803201
2018,Alabama,13265,16223,29488,133,86160,11459340,94604899,69718059
2018,Tennessee,10485,10948,21433,125,32611,4076379,91022335,35170599
2018,Arkansas,9697,11233,20930,125,53001,6625162,76463785,43162670
2018,Florida,13633,18113,31746,119,78482,9339333,84837920,39149664
2018,Georgia,11922,15919,27841,135,71653,9673104,123073722,49207808
2018,Kentucky,9010,11402,20412,124,37935,4703908,41366437,31446474
2018,Ole Miss,7087,9392,16479,117,51809,6061709,48247277,32215416
2018,Missouri,9734,10933,20667,119,42556,5064124,38471523,23586363
2018,South Carolina,11772,13540,25312,119,28196,3355312,65004536,36206781
2018,Vanderbilt,3295,3486,6781,104,30313,3152543,32108897,28610632
