Survey_Year,School,Male_Undergraduates,Female_Undergraduates,Total_Undergraduates,Total_Participants,Operating_Expenses_per_Participant,Total_Operating_Expenses,Total_Revenues,Total_Expenses
2012,Auburn,9176,9273,18449,121,28596,3460103,75092576,36306282
2012,LSU,11043,11524,22567,135,22641,3056488,74275838,25822306
2012,Mississippi State,7830,7174,15004,119,30261,3601103,25824156,15279072
2012,Texas A&M,18736,17367,36103,128,26440,3384260,53800924,18051635
2012,Alabama,11721,13388,25109,140,56626,7927590,88660439,41558058
2012,Tennessee,9967,9516,19483,135,16200,2186995,55359423,27850351
2012,Arkansas,8759,8928,17687,122,41832,5103455,61492925,29861957
2012,Florida,13254,16730,29984,118,69093,8152916,74820287,25704553
2012,Georgia,10364,14034,24398,125,48705,6088141,77594300,26325257
2012,Kentucky,9402,9707,19109,123,12942,1591868,30526981,18301396
2012,Ole Miss,6560,8131,14691,121,33952,4108185,41136644,25210875
2012,Missouri,12028,13018,25046,135,27491,3711218,28792306,17358875
2012,South Carolina,9793,11734,21527,116,21948,2545981,49266878,24975716
2012,Vanderbilt,3373,3339,6712,115,27137,3120797,22628642,21279144
